,account,balance
65,0xdbdb9fe9160ec77c02dfb8f6cfd89a72c02edf53,377224000000000
66,0x41016a1eb714b87cb209984b1a2a4118373873aa,0
67,0x32be343b94f860124dc4fee278fdcbd38c102d88,246071577893173560473
68,0x4aa59557e90c437454ae465aa52cd7c8b6fb76f7,5120
69,0xeec61191e8e58a30d20d83477a9a357bfdaaa44c,5120
70,0xa193c943980a9340f306b3d59deb183dc501b35f,26858847794787970
71,0xb75c8937c3000c21ef4779d90ce86d0d10d1bce6,0
72,0x22e7e7ee679fbdb5c1ee31d41821f38dbfc36ad3,21000000000
73,0x6fc33ba830427066221366c6a5b5d5b64c053fc8,0
74,0x0a5650aba6473c48898f3d9366b52c21a4eec37b,0
75,0x41e5560054824ea6b0732e656e3ad64e20e94e45,0
76,0xc2e90c95d9335b5441635c67a3ff9528a8720c1b,4507366419030352
77,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,8828814539858549341827
78,0xd3273eba07248020bf98a8b560ec1576a612102f,6696430408998793
79,0x80faa241b06be8f787ce76a3c6e3b5bcb305cd31,5504
80,0xa529b3df97eabb1dfa215f419348dba82195cae2,16032884717061870
81,0xeed16856d551569d134530ee3967ec79995e2051,592458410854348530
82,0x563b377a956c80d77a7c613a9343699ad6123911,4291503491086032
83,0x33219f2fa395be48e34cfaeee8e07189ab344f68,0
84,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,43338541073858225984
85,0x6c7721037c97cd47642db666bf7a73c391e37961,13795624
86,0x98325b44835ab884e09fb525010415160f8273f1,655775480226962
87,0x3bf541f87056d134e0109be1be92978b26cb09e0,0
88,0xbeb9ef514a379b997e0798fdcc901ee474b6d9a1,0
89,0xe05cedd2838e4e1d99b539d8c768d6ef2a10f729,0
90,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,18276893118561289911667
91,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,0
92,0x5c40ef6f527f4fba68368774e6130ce6515123f2,10000000000000000
93,0x755cdba6ae4f479f7164792b318b2a06c759833b,71153130178883059809984
94,0x22da17200cd25d3fb2a6a1e99e068e9e1bc277af,83193300000000
95,0xf25ffee4df81737f232f138cd1be008d9ea602a4,81759668969989
96,0x6ea56035adab59840a4efaa492f7d307cd1378ee,689116790861815
97,0xcb94be6f13a1182e4a4b6140cb7bf2025d28e41b,0
98,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0
99,0x08711d3b02c8758f2fb3ab4e80228418a7f8e39c,0
100,0xb9e7f8568e08d5659f5d29c4997173d84cdf2607,0
101,0xf5096917729885ef5b1a8c4ef238d3cf06028ee7,0
102,0xcfb98637bcae43c13323eaa1731ced2b716962fd,0
103,0x667088b212ce3d06a1b553a7221e1fd19000d9af,0
104,0xba111af1e365510b71c6460b3b833447f73e759d,666983941154211867
105,0x8f0ef5ce5050eaefc3eb39c5c4eecfdfde7e4046,0
106,0x2398ca924584f155d758c0fe173969dd0f65704b,0
107,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,9961737402154170231
108,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,0
109,0x8bfdadaef59eeb4afdda79bb367b213cbbd255b0,0
110,0x9e6033edd6ce498cc82051d78ef8de7c509243e7,0
111,0x9771e1bf937990078e2d0829f445578734bb6795,1571223600000000
112,0xa0bb4ba19f578a63fa3f67adaf7bbca15ccadc45,124144804000000000
113,0x1139fce4ecd74ce88b4e6d7fd373facecfd5749f,0
114,0xae83a242360925fc5375e1b4d6524e62639eca92,9791395000000000
